Program,Decades,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,2,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,63,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,35,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,4,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,46,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,50,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,79,
SURVEY,2020–2029,2025,WEEK #13,3/30/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,21,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,2,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,65,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,33,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,44,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,55,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,70,
SURVEY,2020–2029,2025,WEEK #14,4/6/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,30,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,59,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,41,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,2,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,29,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,69,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,61,
SURVEY,2020–2029,2025,WEEK #15,4/13/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,39,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,66,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,33,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,34,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,65,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,65,
SURVEY,2020–2029,2025,WEEK #16,4/20/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,35,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,77,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,23,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,39,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,NORTH DAKOTA,38,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,60,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,67,
SURVEY,2020–2029,2025,WEEK #17,4/27/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,33,
SURVEY,2020–2029,2025,WEEK #18,5/4/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #18,5/4/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,65,
SURVEY,2020–2029,2025,WEEK #18,5/4/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,34,
SURVEY,2020–2029,2025,WEEK #18,5/4/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #18,5/4/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,76,
SURVEY,2020–2029,2025,WEEK #18,5/4/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,24,
SURVEY,2020–2029,2025,WEEK #19,5/11/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #19,5/11/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,67,
SURVEY,2020–2029,2025,WEEK #19,5/11/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,32,
SURVEY,2020–2029,2025,WEEK #19,5/11/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #19,5/11/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,85,
SURVEY,2020–2029,2025,WEEK #19,5/11/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,15,
SURVEY,2020–2029,2025,WEEK #20,5/18/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #20,5/18/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,76,
SURVEY,2020–2029,2025,WEEK #20,5/18/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,24,
SURVEY,2020–2029,2025,WEEK #20,5/18/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #20,5/18/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,77,
SURVEY,2020–2029,2025,WEEK #20,5/18/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,22,
SURVEY,2020–2029,2025,WEEK #21,5/25/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #21,5/25/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,71,
SURVEY,2020–2029,2025,WEEK #21,5/25/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,28,
SURVEY,2020–2029,2025,WEEK #21,5/25/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #21,5/25/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,79,
SURVEY,2020–2029,2025,WEEK #21,5/25/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,21,
SURVEY,2020–2029,2025,WEEK #22,6/1/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #22,6/1/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,74,
SURVEY,2020–2029,2025,WEEK #22,6/1/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,26,
SURVEY,2020–2029,2025,WEEK #22,6/1/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #22,6/1/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,80,
SURVEY,2020–2029,2025,WEEK #22,6/1/2025,STATE,WYOMING,56,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,19,
SURVEY,2020–2029,2025,WEEK #23,6/8/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #23,6/8/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,66,
SURVEY,2020–2029,2025,WEEK #23,6/8/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,33,
SURVEY,2020–2029,2025,WEEK #24,6/15/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #24,6/15/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,76,
SURVEY,2020–2029,2025,WEEK #24,6/15/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,24,
SURVEY,2020–2029,2025,WEEK #25,6/22/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #25,6/22/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,69,
SURVEY,2020–2029,2025,WEEK #25,6/22/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,30,
SURVEY,2020–2029,2025,WEEK #26,6/29/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #26,6/29/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,80,
SURVEY,2020–2029,2025,WEEK #26,6/29/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,20,
SURVEY,2020–2029,2025,WEEK #27,7/6/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #27,7/6/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,71,
SURVEY,2020–2029,2025,WEEK #27,7/6/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,29,
SURVEY,2020–2029,2025,WEEK #28,7/13/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #28,7/13/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,70,
SURVEY,2020–2029,2025,WEEK #28,7/13/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,30,
SURVEY,2020–2029,2025,WEEK #29,7/20/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,1,
SURVEY,2020–2029,2025,WEEK #29,7/20/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,80,
SURVEY,2020–2029,2025,WEEK #29,7/20/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,19,
SURVEY,2020–2029,2025,WEEK #30,7/27/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,0,
SURVEY,2020–2029,2025,WEEK #30,7/27/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,74,
SURVEY,2020–2029,2025,WEEK #30,7/27/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,26,
SURVEY,2020–2029,2025,WEEK #31,8/3/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT HEAVY",TOTAL,NOT SPECIFIED,2,
SURVEY,2020–2029,2025,WEEK #31,8/3/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT LIGHT",TOTAL,NOT SPECIFIED,69,
SURVEY,2020–2029,2025,WEEK #31,8/3/2025,STATE,COLORADO,08,,,,,,,00000000,,SHEEP,"SHEEP, INCL LAMBS - LOSS, DEATH, MEASURED IN PCT NORMAL",TOTAL,NOT SPECIFIED,29,
